model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A5,2014,13998,Semi-Auto,52132,Diesel,160,49.6,3.0
 A4,2015,15995,Manual,38787,Diesel,145,55.4,2.0
 A1,2017,13495,Manual,34554,Petrol,150,55.4,1.4
 Q5,2017,30985,Semi-Auto,17502,Petrol,145,40.4,2.0
 A6,2015,16985,Manual,34646,Diesel,30,61.4,2.0
 Q5,2017,26485,Semi-Auto,18000,Diesel,150,56.5,2.0
 Q3,2018,23985,Semi-Auto,17085,Petrol,150,47.9,1.4
 A1,2017,12485,Manual,48166,Diesel,20,72.4,1.6
 Q5,2015,22485,Semi-Auto,38421,Diesel,205,47.1,2.0
 A5,2015,16498,Manual,46637,Diesel,30,61.4,2.0
 A3,2016,11998,Manual,24468,Diesel,0,74.3,1.6
 Q5,2017,24985,Automatic,29343,Diesel,200,47.1,2.0
 A5,2017,20485,Manual,34679,Diesel,30,65.7,2.0
 A3,2018,16985,Semi-Auto,23860,Petrol,145,60.1,1.0
 A4,2018,30985,Automatic,21009,Petrol,145,35.8,3.0
 RS6,2016,44985,Semi-Auto,49050,Petrol,325,29.4,4.0
 Q7,2015,29985,Automatic,47606,Diesel,200,47.9,3.0
 A1,2015,12485,Semi-Auto,26625,Petrol,30,57.6,1.4
 A5,2018,24985,Automatic,5071,Petrol,145,50.4,2.0
 A5,2015,21985,Semi-Auto,28011,Petrol,260,34.9,3.0
 A4,2016,18498,Semi-Auto,29845,Petrol,160,45.6,2.0
 A3,2014,14995,Semi-Auto,27355,Petrol,160,42.8,1.8
 A4,2016,17998,Manual,20885,Diesel,30,64.2,2.0
 A3,2014,10985,Automatic,10534,Petrol,30,56.5,1.2
 A3,2016,12995,Manual,25895,Diesel,20,70.6,2.0
 A1,2016,11495,Manual,32867,Petrol,0,67.3,1.0
 Q5,2015,18295,Semi-Auto,42793,Diesel,205,47.1,2.0
 A6,2015,18998,Semi-Auto,49039,Diesel,160,50.4,3.0
 Q2,2017,18485,Manual,22501,Diesel,145,64.2,1.6
 A8,2017,38985,Automatic,1420,Diesel,145,50.4,3.0
 A5,2017,22998,Semi-Auto,26939,Diesel,145,62.8,2.0
 A8,2014,18998,Semi-Auto,24786,Diesel,205,47.9,3.0
 A4,2017,17698,Manual,18761,Petrol,145,51.4,1.4
 A3,2017,18998,Semi-Auto,22295,Petrol,30,56.5,1.4
 Q2,2017,16995,Manual,18068,Petrol,145,52.3,1.4
 A3,2018,19995,Manual,25000,Petrol,150,42.2,1.5
 Q2,2017,14495,Manual,23043,Petrol,150,55.4,1.0
 A5,2014,12998,Semi-Auto,80902,Diesel,125,60.1,2.0
 Q3,2016,18698,Manual,26474,Diesel,145,52.3,2.0
 Q5,2013,15998,Semi-Auto,65458,Diesel,235,44.1,3.0
 TT,2018,16498,Manual,34170,Petrol,150,47.1,1.8
 Q3,2018,19485,Manual,7157,Petrol,145,51.4,1.4
 Q3,2016,19995,Semi-Auto,31600,Diesel,160,50.4,2.0
 Q7,2016,47995,Semi-Auto,46600,Diesel,300,39.2,4.0
 A5,2018,23998,Semi-Auto,14078,Petrol,145,45.6,2.0
 A5,2015,17998,Manual,13312,Diesel,125,57.6,2.0
 A6,2018,28985,Semi-Auto,10,Diesel,145,50.4,2.0
 RS6,2015,46000,Semi-Auto,20982,Petrol,325,29.4,4.0
 A6,2018,26995,Semi-Auto,15600,Diesel,145,50.4,2.0
 A1,2017,12698,Manual,11017,Petrol,150,67.3,1.0
 Q3,2017,17298,Manual,16908,Petrol,125,51.4,1.4
 A4,2017,16498,Manual,28801,Petrol,125,49.6,2.0
 A4,2017,16798,Manual,23362,Petrol,145,50.4,1.4
 Q5,2013,15998,Manual,50025,Petrol,235,37.7,2.0
 Q8,2018,63985,Semi-Auto,8450,Diesel,145,32.8,3.0
 A6,2018,27985,Semi-Auto,1790,Diesel,145,50.4,2.0
 A4,2018,19485,Semi-Auto,10,Petrol,145,53.3,1.4
 A4,2018,20985,Manual,10,Petrol,145,52.3,1.4
 A3,2018,22285,Automatic,6754,Diesel,145,52.3,1.6
 Q3,2014,14500,Semi-Auto,35423,Diesel,200,47.9,2.0
 A3,2017,25000,Semi-Auto,16703,Petrol,200,41.5,2.0
 Q3,2017,15800,Manual,37203,Petrol,125,51.4,1.4
 A3,2013,13500,Semi-Auto,44405,Diesel,125,58.9,2.0
 Q3,2014,12000,Manual,79389,Diesel,165,50.4,2.0
 A3,2015,13800,Semi-Auto,61808,Diesel,125,57.6,2.0
 A1,2016,11000,Manual,10491,Petrol,0,67.3,1.0
 A3,2018,19995,Manual,19000,Petrol,150,49.6,2.0
 A1,2016,11650,Manual,18900,Petrol,0,67.3,1.0
 A3,2014,11850,Manual,50900,Diesel,20,68.9,2.0
 A6,2013,12495,Manual,49000,Diesel,325,29.7,2.0
 A1,2015,15995,Manual,23081,Petrol,235,39.8,2.0
 Q5,2016,21498,Semi-Auto,20547,Diesel,200,47.1,2.0
 A5,2016,22998,Semi-Auto,18828,Petrol,260,35.8,3.0
 Q7,2016,29985,Automatic,38654,Diesel,200,47.9,3.0
 A3,2014,16485,Manual,25764,Petrol,200,40.4,2.0
 TT,2016,19485,Manual,28402,Diesel,30,62.8,2.0
 A1,2015,13495,Manual,17152,Petrol,30,56.5,1.4
 A3,2016,14995,Manual,29775,Petrol,20,60.1,1.4
 Q5,2017,39995,Semi-Auto,7801,Petrol,145,34.0,3.0
 Q5,2015,22990,Semi-Auto,60599,Diesel,240,42.8,3.0
 A1,2017,12495,Manual,20670,Petrol,30,57.6,1.4
 A3,2016,16485,Manual,21241,Petrol,125,52.3,1.4
 Q3,2016,20485,Manual,16945,Diesel,160,49.6,2.0
 A4,2018,24985,Automatic,18010,Petrol,145,49.6,1.4
 A4,2017,19995,Semi-Auto,29653,Diesel,145,62.8,2.0
 A5,2014,16000,Semi-Auto,75159,Petrol,260,34.9,3.0
 Q3,2014,14998,Semi-Auto,33842,Diesel,200,47.9,2.0
 A3,2015,13995,Manual,42977,Diesel,20,67.3,2.0
 A1,2016,11995,Manual,17454,Petrol,0,67.3,1.0
 A3,2018,15995,Manual,17547,Petrol,150,56.5,1.5
 A1,2016,13585,Manual,25010,Petrol,30,58.9,1.4
 Q7,2015,34995,Semi-Auto,21245,Diesel,205,47.9,3.0
 A4,2017,18995,Manual,27394,Diesel,30,64.2,2.0
 A1,2016,12995,Manual,29283,Petrol,0,67.3,1.0
 A1,2016,14495,Manual,20905,Petrol,30,56.5,1.4
 A1,2017,12995,Manual,24386,Petrol,0,67.3,1.0
 TT,2017,24995,Semi-Auto,11621,Petrol,150,42.8,2.0
 Q5,2016,31995,Semi-Auto,30172,Diesel,240,42.2,3.0
 A4,2015,13995,Manual,27016,Diesel,30,62.8,2.0
 Q3,2016,21995,Semi-Auto,40254,Petrol,205,40.4,2.0
 Q2,2018,23995,Manual,16534,Petrol,150,49.6,1.4
 Q3,2017,22995,Semi-Auto,20075,Petrol,150,42.2,2.0
 A3,2016,15995,Manual,14401,Petrol,20,60.1,1.0
 A3,2016,19995,Semi-Auto,19430,Petrol,145,47.9,2.0
 RS4,2013,26995,Semi-Auto,28359,Petrol,565,26.4,4.2
 A1,2014,11995,Manual,24764,Diesel,0,74.3,1.6
 A1,2014,11995,Manual,26141,Petrol,125,53.3,1.4
 Q5,2018,30995,Semi-Auto,15706,Petrol,145,40.4,2.0
 A8,2018,38995,Semi-Auto,6588,Diesel,145,48.7,3.0
 Q7,2016,31995,Semi-Auto,48248,Diesel,205,47.9,3.0
 A8,2018,41995,Semi-Auto,11276,Diesel,145,48.7,3.0
 A4,2016,19995,Manual,20141,Diesel,30,67.3,2.0
 A3,2016,16995,Manual,16555,Petrol,20,60.1,1.4
 A1,2017,14495,Manual,8608,Petrol,145,67.3,1.0
 Q3,2017,19995,Manual,18380,Petrol,145,49.6,1.4
 Q3,2017,23995,Semi-Auto,27136,Petrol,145,40.4,2.0
 A3,2016,13995,Manual,36409,Petrol,20,60.1,1.4
 A6,2017,27995,Semi-Auto,35219,Diesel,150,50.4,3.0
 Q5,2018,33995,Semi-Auto,10252,Petrol,150,40.4,2.0
 A3,2018,17490,Manual,16380,Diesel,145,67.3,1.6
 A3,2015,14990,Semi-Auto,30530,Diesel,30,64.2,2.0
 Q5,2016,30995,Semi-Auto,37129,Diesel,235,42.2,3.0
 A3,2017,13995,Manual,36400,Petrol,20,61.4,1.4
 Q7,2018,47995,Semi-Auto,8618,Diesel,145,32.8,3.0
 Q2,2018,21995,Manual,9634,Petrol,145,50.4,1.4
 Q2,2017,19995,Semi-Auto,18355,Diesel,145,68.9,1.6
 Q5,2017,26995,Semi-Auto,28604,Petrol,145,40.9,2.0
 A1,2017,15995,Manual,15187,Diesel,145,76.3,1.6
 A5,2015,18990,Semi-Auto,43417,Diesel,160,50.4,2.0
 A8,2018,35995,Semi-Auto,12195,Diesel,145,50.4,3.0
 A5,2018,27995,Semi-Auto,12686,Diesel,145,58.9,3.0
 A1,2017,13995,Manual,12148,Petrol,145,67.3,1.0
 Q5,2016,31995,Semi-Auto,44525,Diesel,235,42.2,3.0
 Q3,2016,18495,Manual,20952,Diesel,145,55.4,2.0
 Q5,2014,19995,Manual,36970,Diesel,200,47.9,2.0
 Q3,2015,17995,Manual,38244,Petrol,145,49.6,1.4
 Q7,2015,31995,Semi-Auto,26407,Diesel,200,47.9,3.0
 Q3,2017,24995,Semi-Auto,9078,Petrol,145,40.4,2.0
 A1,2017,12995,Manual,22427,Petrol,145,67.3,1.0
 A4,2015,14995,Semi-Auto,41755,Diesel,150,53.3,2.0
 A3,2015,12490,Semi-Auto,35455,Petrol,30,58.9,1.4
 A3,2017,14298,Manual,14607,Petrol,20,60.1,1.0
 A1,2016,11498,Manual,24952,Petrol,30,55.4,1.4
 A5,2014,11998,Manual,49640,Diesel,30,64.2,2.0
 Q3,2017,19998,Manual,21576,Petrol,145,49.6,1.4
 Q5,2017,27995,Semi-Auto,20870,Diesel,145,55.4,2.0
 A4,2017,19995,Semi-Auto,30300,Diesel,30,62.8,2.0
 Q3,2016,19995,Manual,22353,Diesel,160,49.6,2.0
 Q3,2016,19995,Semi-Auto,23205,Diesel,145,55.4,2.0
 A1,2017,13995,Manual,15361,Petrol,30,55.4,1.4
 A1,2018,14995,Manual,15092,Petrol,145,57.7,1.4
 A3,2017,36990,Semi-Auto,3059,Petrol,145,43.5,2.0
 TT,2016,24995,Semi-Auto,28475,Petrol,200,40.9,2.0
 A3,2013,11490,Manual,35804,Petrol,30,54.3,1.4
 A3,2017,18495,Manual,24000,Petrol,30,60.1,1.4
 Q3,2017,18995,Semi-Auto,27057,Petrol,145,47.9,1.4
 A4,2013,12990,Manual,42185,Diesel,145,55.4,2.0
 Q5,2015,17995,Semi-Auto,59120,Diesel,200,47.1,2.0
 A5,2016,16498,Semi-Auto,41431,Diesel,160,52.3,2.0
 RS6,2017,57995,Semi-Auto,34926,Petrol,325,29.4,4.0
 Q2,2018,22890,Semi-Auto,4642,Diesel,145,46.3,1.6
 A6,2015,16995,Semi-Auto,29558,Diesel,20,67.3,2.0
 A3,2017,15995,Manual,17000,Petrol,20,60.1,1.4
 A4,2017,20995,Semi-Auto,51204,Diesel,145,56.5,2.0
 A3,2013,14995,Semi-Auto,38776,Petrol,30,56.5,1.4
 Q3,2017,19995,Manual,21972,Petrol,145,49.6,1.4
 TT,2018,39995,Semi-Auto,17648,Petrol,145,34.5,2.5
 Q2,2017,22995,Semi-Auto,5674,Petrol,145,52.3,1.4
 A5,2017,24995,Semi-Auto,22086,Diesel,145,62.8,2.0
 Q3,2015,19995,Semi-Auto,20825,Petrol,145,47.9,1.4
 A1,2015,12995,Manual,20042,Petrol,30,57.6,1.4
 A4,2017,19495,Semi-Auto,31214,Diesel,30,67.3,2.0
 Q2,2018,19990,Manual,16414,Petrol,145,50.4,1.4
 Q2,2018,21495,Manual,27198,Petrol,145,50.4,1.4
 A3,2018,28995,Semi-Auto,17166,Petrol,145,43.5,2.0
 A3,2018,26990,Semi-Auto,18283,Petrol,145,44.1,2.0
 Q5,2018,27995,Semi-Auto,15076,Diesel,145,56.5,2.0
 Q5,2017,25995,Semi-Auto,29330,Diesel,145,56.5,2.0
 Q2,2017,19995,Manual,25520,Petrol,145,50.4,1.4
 Q5,2016,33995,Semi-Auto,23478,Diesel,235,42.2,3.0
 Q2,2017,18995,Manual,17872,Diesel,145,64.2,1.6
 A1,2015,13995,Manual,32065,Petrol,30,55.4,1.4
 A8,2017,28995,Semi-Auto,15072,Diesel,200,47.1,3.0
 Q3,2017,16490,Manual,50286,Diesel,145,61.4,2.0
 Q3,2017,23995,Semi-Auto,25667,Petrol,145,40.4,2.0
 Q7,2017,35995,Semi-Auto,33165,Diesel,200,47.9,3.0
 Q2,2017,19995,Manual,27078,Petrol,125,50.4,1.4
 Q2,2017,19995,Manual,29874,Petrol,125,50.4,1.4
 Q5,2015,21995,Semi-Auto,28977,Diesel,200,47.1,2.0
 Q3,2016,21995,Semi-Auto,28526,Diesel,160,50.4,2.0
 Q3,2017,22995,Manual,14068,Diesel,145,54.3,2.0
 A3,2018,18990,Manual,6321,Petrol,145,50.4,2.0
 A8,2018,40990,Semi-Auto,4440,Petrol,145,37.7,3.0
 A3,2015,14995,Manual,50062,Petrol,30,57.6,1.2
 A1,2015,11995,Manual,31500,Petrol,30,57.6,1.4
 A1,2015,12995,Manual,21807,Petrol,30,57.6,1.4
 A3,2017,25995,Manual,13688,Petrol,200,40.4,2.0
 A3,2017,18995,Semi-Auto,19735,Petrol,30,57.6,1.4
 Q3,2017,20995,Semi-Auto,22175,Petrol,145,47.9,1.4
 A4,2018,23995,Semi-Auto,13907,Petrol,145,49.6,1.4
 A1,2018,14495,Manual,20106,Petrol,145,67.3,1.0
 Q5,2018,30995,Semi-Auto,7891,Petrol,145,40.9,2.0
 Q5,2015,21995,Semi-Auto,18188,Diesel,200,47.1,2.0
 A5,2016,16995,Manual,41497,Diesel,125,57.6,2.0
 A1,2016,14995,Manual,13961,Petrol,30,58.9,1.4
 A4,2016,17495,Semi-Auto,41505,Diesel,20,67.3,2.0
 Q3,2017,20995,Semi-Auto,26494,Petrol,145,47.9,1.4
 A1,2017,14495,Manual,23655,Petrol,30,55.4,1.4
 A3,2018,19995,Manual,17789,Petrol,145,54.3,1.5
 A1,2017,12495,Manual,25747,Petrol,0,67.3,1.0
 A1,2017,14995,Manual,27000,Petrol,145,55.4,1.4
 Q5,2016,24490,Semi-Auto,51562,Diesel,235,42.8,3.0
 A3,2016,13995,Manual,40030,Diesel,0,83.1,1.6
 A6,2016,19495,Semi-Auto,43099,Diesel,145,56.5,2.0
 Q2,2017,17995,Manual,18842,Petrol,145,55.4,1.0
 A4,2016,19995,Semi-Auto,31894,Diesel,30,64.2,3.0
 A5,2015,18995,Semi-Auto,38540,Diesel,125,58.9,2.0
 A1,2017,13995,Manual,25552,Petrol,30,56.5,1.4
 A7,2015,18495,Semi-Auto,72283,Diesel,145,54.3,3.0
 Q5,2016,34995,Semi-Auto,22809,Diesel,235,42.2,3.0
 A3,2017,19995,Manual,16103,Diesel,145,65.7,2.0
 A1,2016,13495,Manual,23745,Petrol,30,57.6,1.4
 TT,2016,16995,Manual,29593,Diesel,30,62.8,2.0
 A1,2014,13995,Semi-Auto,15300,Petrol,125,53.3,1.4
 Q3,2018,25995,Semi-Auto,9185,Petrol,145,48.7,1.4
 A1,2016,10995,Manual,45644,Diesel,0,80.7,1.6
 Q5,2016,33995,Semi-Auto,29156,Diesel,235,42.2,3.0
 A1,2015,12298,Manual,15837,Petrol,30,58.9,1.4
 Q3,2016,15998,Manual,15264,Diesel,30,61.4,2.0
 Q2,2018,18998,Manual,8211,Diesel,150,49.6,1.6
 Q2,2017,21995,Manual,10962,Petrol,145,50.4,1.4
 Q5,2016,28995,Semi-Auto,42187,Diesel,235,42.8,3.0
 A1,2017,15995,Manual,8128,Petrol,30,55.4,1.4
 A4,2016,13985,Manual,55697,Diesel,20,70.6,2.0
 Q3,2015,13995,Manual,35446,Diesel,145,54.3,2.0
 Q3,2016,18499,Semi-Auto,30366,Diesel,160,50.4,2.0
 Q5,2017,27498,Semi-Auto,32090,Petrol,145,40.4,2.0
 Q3,2015,15998,Semi-Auto,19300,Petrol,145,47.9,1.4
 A4,2016,13998,Manual,37478,Diesel,0,74.3,2.0
 A1,2016,13995,Manual,8577,Petrol,30,55.4,1.4
 A3,2018,18995,Manual,13147,Diesel,145,67.3,1.6
 A6,2017,22995,Semi-Auto,24336,Diesel,145,61.4,2.0
 Q2,2018,17495,Manual,23813,Petrol,145,55.4,1.0
 Q2,2017,21995,Semi-Auto,17633,Petrol,145,52.3,1.4
 A6,2015,16995,Semi-Auto,55220,Diesel,30,64.2,2.0
 Q5,2017,22995,Semi-Auto,47952,Diesel,145,56.5,2.0
 Q5,2014,19995,Semi-Auto,50500,Diesel,235,44.1,3.0
 A1,2016,15495,Manual,31147,Petrol,30,56.5,1.4
